WHORegionCode,WHORegionName,CountryIso3,CountryTerritoryArea,IncomeWorldBankJune,Year,AntimicrobialClass,AWaRe,AWaReLabel,RouteOfAdministration,DDD,DID,Note
EUR,European Region,ARM,Armenia,Lower middle income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,O,3240957.03333,3.046122485,
EUR,European Region,ARM,Armenia,Lower middle income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,P,285416.333334,0.268258141,
EUR,European Region,ARM,Armenia,Lower middle income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,P,750.0,0.000704913,
EUR,European Region,ARM,Armenia,Lower middle income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,P,0.0,0.0,
EUR,European Region,ARM,Armenia,Lower middle income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,P,1036387.2619044,0.97408343,
EUR,European Region,ARM,Armenia,Upper middle income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,I,0.0,0.0,
EUR,European Region,ARM,Armenia,Upper middle income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,I,0.0,0.0,
EUR,European Region,ARM,Armenia,Upper middle income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,I,0.0,0.0,
EUR,European Region,ARM,Armenia,Upper middle income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,I,0.0,0.0,
EUR,European Region,ARM,Armenia,Upper middle income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,O,8320499.4,7.833732972,
EUR,European Region,ARM,Armenia,Upper middle income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,O,72529.0,0.068285902,
EUR,European Region,ARM,Armenia,Upper middle income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,O,9000.0,0.008473481,
EUR,European Region,ARM,Armenia,Upper middle income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,O,3836627.582997,3.612176932,
EUR,European Region,ARM,Armenia,Upper middle income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,P,268227.3333297,0.252535511,
EUR,European Region,ARM,Armenia,Upper middle income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,P,1250.0,0.001176872,
EUR,European Region,ARM,Armenia,Upper middle income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,P,1066.666667,0.001004264,
EUR,European Region,ARM,Armenia,Upper middle income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,P,996535.369047633,0.938235992,
EUR,European Region,ARM,Armenia,Upper middle income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,O,6881226.78337,6.492030957,
EUR,European Region,ARM,Armenia,Upper middle income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,O,51626.5,0.048706552,
EUR,European Region,ARM,Armenia,Upper middle income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,O,15400.0,0.01452899,
EUR,European Region,ARM,Armenia,Upper middle income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,O,4026640.708,3.798897631,
EUR,European Region,ARM,Armenia,Upper middle income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,P,345677.6666803,0.326126458,
EUR,European Region,ARM,Armenia,Upper middle income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,P,0.0,0.0,
EUR,European Region,ARM,Armenia,Upper middle income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,P,0.0,0.0,
EUR,European Region,ARM,Armenia,Upper middle income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,P,1244417.23214257,1.174034141,
EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,O,8823083.71667,8.361720917,
EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,O,76427.0,0.0724306,
EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,O,24450.0,0.023171499,
EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,O,8040327.108333,7.619894985,
EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,P,308567.66662667,0.292432536,
EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,P,785.0,0.000743952,
EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,P,20.0,1.9e-05,
EUR,European Region,ARM,Armenia,Upper middle income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,P,2001848.58333,1.89717106,
EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,I,0.0,0.0,
EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,I,0.0,0.0,
EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,I,0.0,0.0,
EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,I,5600.0,0.005345157,
EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,O,7377516.716,7.04178292,
EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,O,37688.0,0.035972909,
EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,O,13700.0,0.013076545,
EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,O,5759124.3055556,5.497039822,
EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,P,179498.66666,0.171330095,
EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,P,451.5,0.000430953,
EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,P,8928.571429,0.008522253,
EUR,European Region,ARM,Armenia,Upper middle income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,P,1776669.24404733,1.695817158,
EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,I,0.0,0.0,
EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,I,0.0,0.0,
EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,I,0.0,0.0,
EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,I,6720.0,0.006390755,
EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,O,4998937.4,4.754015239,
EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,O,61694.5,0.058671788,
EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,O,5100.0,0.004850126,
EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,O,3635228.66633,3.457121204,
EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,P,193657.166707,0.184168964,
EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,P,0.0,0.0,
EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,P,38.75,3.69e-05,
EUR,European Region,ARM,Armenia,Upper middle income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,P,1247498.6428571,1.186377639,
EUR,European Region,ARM,Armenia,Upper middle income,2023,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,O,9093607.99963,8.464379212,
EUR,European Region,ARM,Armenia,Upper middle income,2023,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,O,64337.0,0.059885226,
EUR,European Region,ARM,Armenia,Upper middle income,2023,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,O,19300.0,0.017964544,
EUR,European Region,ARM,Armenia,Upper middle income,2023,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,O,4578497.967,4.26169052,
EUR,European Region,ARM,Armenia,Upper middle income,2023,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,P,248686.16666667,0.231478453,
EUR,European Region,ARM,Armenia,Upper middle income,2023,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,P,216.0,0.000201054,
EUR,European Region,ARM,Armenia,Upper middle income,2023,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,P,2375.0,0.002210663,
EUR,European Region,ARM,Armenia,Upper middle income,2023,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,P,903928.0952414,0.841381107,
EUR,European Region,AUT,Austria,High income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,IP,0.0,0.0,d
EUR,European Region,AUT,Austria,High income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,IP,0.0,0.0,d
EUR,European Region,AUT,Austria,High income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,IP,36368.72,0.011403216,d
EUR,European Region,AUT,Austria,High income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,IP,7168.0,0.002247488,d
EUR,European Region,AUT,Austria,High income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,IS,0.0,0.0,d
EUR,European Region,AUT,Austria,High income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,IS,0.0,0.0,d
EUR,European Region,AUT,Austria,High income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,IS,6832.0,0.002142137,d
EUR,European Region,AUT,Austria,High income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,IS,31737.06667,0.009950985,d
EUR,European Region,AUT,Austria,High income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,O,21940214.45,6.879235675,d
EUR,European Region,AUT,Austria,High income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,O,453889.5,0.1423146,d
EUR,European Region,AUT,Austria,High income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,O,18926.0,0.005934151,d
EUR,European Region,AUT,Austria,High income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,O,14059000.5833,4.408123656,d
EUR,European Region,AUT,Austria,High income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,P,15551.6833337,0.004876044,d
EUR,European Region,AUT,Austria,High income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,P,82.0,2.57e-05,d
EUR,European Region,AUT,Austria,High income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,P,606.2777778,0.00019007,d
EUR,European Region,AUT,Austria,High income,2016,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,P,20042.6428571,0.00628435,d
EUR,European Region,AUT,Austria,High income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,IP,0.0,0.0,d
EUR,European Region,AUT,Austria,High income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,IP,0.0,0.0,d
EUR,European Region,AUT,Austria,High income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,IP,36908.56,0.01149243,d
EUR,European Region,AUT,Austria,High income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,IP,7336.0,0.002284252,d
EUR,European Region,AUT,Austria,High income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,IS,0.0,0.0,d
EUR,European Region,AUT,Austria,High income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,IS,0.0,0.0,d
EUR,European Region,AUT,Austria,High income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,IS,7252.0,0.002258097,d
EUR,European Region,AUT,Austria,High income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,IS,44325.86667,0.013801999,d
EUR,European Region,AUT,Austria,High income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,O,23120319.933,7.19910677,d
EUR,European Region,AUT,Austria,High income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,O,188755.3333,0.058773832,d
EUR,European Region,AUT,Austria,High income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,O,24501.5,0.007629172,d
EUR,European Region,AUT,Austria,High income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,O,15043398.5,4.684149368,d
EUR,European Region,AUT,Austria,High income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,P,16968.0416663,0.00528343,d
EUR,European Region,AUT,Austria,High income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,P,159.0,4.95e-05,d
EUR,European Region,AUT,Austria,High income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,P,1562.5079366,0.000486468,d
EUR,European Region,AUT,Austria,High income,2017,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,P,20520.0595231,0.006389478,d
EUR,European Region,AUT,Austria,High income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,IP,0.0,0.0,d
EUR,European Region,AUT,Austria,High income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,IP,0.0,0.0,d
EUR,European Region,AUT,Austria,High income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,IP,33180.45333,0.010281492,d
EUR,European Region,AUT,Austria,High income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,IP,5768.0,0.001787307,d
EUR,European Region,AUT,Austria,High income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,IS,0.0,0.0,d
EUR,European Region,AUT,Austria,High income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,IS,0.0,0.0,d
EUR,European Region,AUT,Austria,High income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,IS,6412.0,0.00198686,d
EUR,European Region,AUT,Austria,High income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,IS,44600.26667,0.013820103,d
EUR,European Region,AUT,Austria,High income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,O,20765178.227,6.434421093,d
EUR,European Region,AUT,Austria,High income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,O,179081.1667,0.055491151,d
EUR,European Region,AUT,Austria,High income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,O,23669.5,0.007334371,d
EUR,European Region,AUT,Austria,High income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,O,13663372.833333,4.233813618,d
EUR,European Region,AUT,Austria,High income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,P,14324.483333,0.00443869,d
EUR,European Region,AUT,Austria,High income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,P,321.25,9.95e-05,d
EUR,European Region,AUT,Austria,High income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,P,2316.8174603,0.000717894,d
EUR,European Region,AUT,Austria,High income,2018,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,P,20310.6785714,0.006293543,d
EUR,European Region,AUT,Austria,High income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,IP,0.0,0.0,
EUR,European Region,AUT,Austria,High income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,IP,0.0,0.0,
EUR,European Region,AUT,Austria,High income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,IP,45345.359997,0.01398892,
EUR,European Region,AUT,Austria,High income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,IP,6216.0,0.001917667,
EUR,European Region,AUT,Austria,High income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,IS,0.0,0.0,
EUR,European Region,AUT,Austria,High income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,IS,0.0,0.0,
EUR,European Region,AUT,Austria,High income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,IS,6384.0,0.001969495,
EUR,European Region,AUT,Austria,High income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,IS,62785.33333,0.019369105,
EUR,European Region,AUT,Austria,High income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,O,21531809.66333,6.642504563,
EUR,European Region,AUT,Austria,High income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,O,197929.5,0.061060711,
EUR,European Region,AUT,Austria,High income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,O,47720.0,0.014721483,
EUR,European Region,AUT,Austria,High income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,O,12910810.583334,3.982949757,
EUR,European Region,AUT,Austria,High income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,P,1826565.437497,0.563490454,
EUR,European Region,AUT,Austria,High income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,P,55183.75,0.017024007,
EUR,European Region,AUT,Austria,High income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,P,179882.0119044,0.055493152,
EUR,European Region,AUT,Austria,High income,2019,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,P,2195717.53568,0.677372956,
EUR,European Region,AUT,Austria,High income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,IP,0.0,0.0,
EUR,European Region,AUT,Austria,High income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,IP,0.0,0.0,
EUR,European Region,AUT,Austria,High income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,IP,39978.213333,0.012277141,
EUR,European Region,AUT,Austria,High income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,IP,6664.0,0.002046492,
EUR,European Region,AUT,Austria,High income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,IS,0.0,0.0,
EUR,European Region,AUT,Austria,High income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,IS,0.0,0.0,
EUR,European Region,AUT,Austria,High income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,IS,7476.0,0.002295857,
EUR,European Region,AUT,Austria,High income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,IS,61607.6,0.018919436,
EUR,European Region,AUT,Austria,High income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,O,16796593.28747,5.158163293,
EUR,European Region,AUT,Austria,High income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,O,155545.0,0.047767216,
EUR,European Region,AUT,Austria,High income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,O,45532.5,0.013982877,
EUR,European Region,AUT,Austria,High income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,O,8938553.598666,2.74499229,
EUR,European Region,AUT,Austria,High income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,P,1667888.29743,0.512201486,
EUR,European Region,AUT,Austria,High income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,P,86996.0,0.026716106,
EUR,European Region,AUT,Austria,High income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,P,179849.4960293,0.055231198,
EUR,European Region,AUT,Austria,High income,2020,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,P,2089083.1666476,0.64154877,
EUR,European Region,AUT,Austria,High income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,IP,0.0,0.0,
EUR,European Region,AUT,Austria,High income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,IP,0.0,0.0,
EUR,European Region,AUT,Austria,High income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,IP,39674.800003,0.012121935,
EUR,European Region,AUT,Austria,High income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,IP,6888.0,0.002104507,
EUR,European Region,AUT,Austria,High income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,IS,0.0,0.0,
EUR,European Region,AUT,Austria,High income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,IS,0.0,0.0,
EUR,European Region,AUT,Austria,High income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,IS,6720.0,0.002053128,
EUR,European Region,AUT,Austria,High income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,IS,60778.13333,0.018569666,
EUR,European Region,AUT,Austria,High income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,O,16879305.99863,5.157174084,
EUR,European Region,AUT,Austria,High income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,O,290735.5,0.088829102,
EUR,European Region,AUT,Austria,High income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,O,51009.0,0.015584897,
EUR,European Region,AUT,Austria,High income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,O,9004289.416666,2.751101677,
EUR,European Region,AUT,Austria,High income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,P,1621947.9167031,0.495557626,
EUR,European Region,AUT,Austria,High income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,P,93711.25,0.028631818,
EUR,European Region,AUT,Austria,High income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,P,207154.1785714,0.063292331,
EUR,European Region,AUT,Austria,High income,2021,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,P,2083782.857118,0.636663126,
EUR,European Region,AUT,Austria,High income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,IP,0.0,0.0,
EUR,European Region,AUT,Austria,High income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,IP,0.0,0.0,
EUR,European Region,AUT,Austria,High income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,IP,33944.733333,0.010259524,
EUR,European Region,AUT,Austria,High income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,IP,4480.0,0.001354067,
EUR,European Region,AUT,Austria,High income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,IS,0.0,0.0,
EUR,European Region,AUT,Austria,High income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,IS,0.0,0.0,
EUR,European Region,AUT,Austria,High income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,IS,7504.0,0.002267998,
EUR,European Region,AUT,Austria,High income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,IS,55671.46667,0.016826278,
EUR,European Region,AUT,Austria,High income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,O,20247951.30037,6.119781122,
EUR,European Region,AUT,Austria,High income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,O,262203.5,0.079248908,
EUR,European Region,AUT,Austria,High income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,O,58868.5,0.017792532,
EUR,European Region,AUT,Austria,High income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",W,Watch,O,11250086.833333,3.400248689,
EUR,European Region,AUT,Austria,High income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",A,Ãƒccess,P,1720033.9525003,0.51986653,
EUR,European Region,AUT,Austria,High income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",O,Not classified/recommended,P,88286.5,0.026683931,
EUR,European Region,AUT,Austria,High income,2022,"Antibacterials (ATC J01, A07AA, P01AB)",R,Reserve,P,204471.1785679,0.061799737,
